AT1G66330.1;AT1G66330.2,senescence-associated family protein
AT3G62750.1,beta glucosidase 8
AT1G63250.1;AT2G07750.1,DEA(D/H)-box RNA helicase family protein
AT2G30620.1;AT2G30620.2,winged-helix DNA-binding transcription factor family protein
AT2G32090.1,Lactoylglutathione lyase / glyoxalase I family protein
AT3G01340.1;AT3G01340.2,Transducin/WD40 repeat-like superfamily protein
AT5G09860.1;AT5G09860.2,nuclear matrix protein-related
AT2G42500.1,protein phosphatase 2A-3
AT3G13790.1;AT3G13790.2,Glycosyl hydrolases family 32 protein
AT3G26618.1,eukaryotic release factor 1-3
AT3G26630.1,Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G02300.1,Cysteine proteinases superfamily protein
AT1G27680.1,ADPGLC-PPase large subunit
AT2G01720.1,Ribophorin I
ATCG00270.1,photosystem II reaction center protein D
AT1G10950.1,transmembrane nine 1
AT2G22420.1,Peroxidase superfamily protein
AT1G15280.1;AT1G15280.2,CASC3/Barentsz eIF4AIII binding
AT3G01290.1,SPFH/Band 7/PHB domain-containing membrane-associated protein family
AT3G13800.1;AT3G13800.2,Metallo-hydrolase/oxidoreductase superfamily protein
AT1G55265.1,"Protein of unknown function, DUF538"
AT3G56090.1,ferritin 3
AT3G17830.1,Molecular chaperone Hsp40/DnaJ family protein
AT3G58170.1,BET1P/SFT1P-like protein 14A
AT1G53780.1;AT1G53780.2;AT1G53780.3,peptidyl-prolyl cis-trans isomerases;hydrolases;nucleoside-triphosphatases;ATP binding;nucleotide binding;ATPases;peptidyl-prolyl cis-trans isomerases;hydrolases;nucleoside-triphosphatases;ATP binding;nucleotide binding;ATPases;peptidyl-prolyl cis-trans isomerases;hydrolases;nucleoside-triphosphatases;ATP binding;nucleotide binding;ATPases
AT4G18250.1,"receptor serine/threonine kinase, putative"
AT1G56510.1,Disease resistance protein (TIR-NBS-LRR class)
AT4G29900.1,autoinhibited Ca(2+)-ATPase 10
AT1G66150.1,transmembrane kinase 1
AT5G47435.1;AT5G47435.2,"formyltetrahydrofolate deformylase, putative;formyltetrahydrofolate deformylase, putative"
AT5G44020.1,"HAD superfamily, subfamily IIIB acid phosphatase"
AT2G14560.1,Protein of unknown function (DUF567)
AT1G70730.1;AT1G70730.2;AT1G70730.3,Phosphoglucomutase/phosphomannomutase family protein
AT4G17360.1,Formyl transferase
ATCG00350.1,"Photosystem I, PsaA/PsaB protein"
AT1G22360.1,UDP-glucosyl transferase 85A2
AT5G06320.1,NDR1/HIN1-like 3
AT3G11930.1;AT3G11930.2;AT3G11930.3;AT3G11930.4,Adenine nucleotide alpha hydrolases-like superfamily protein
AT4G01150.1,"unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: thylakoid, chloroplast thylakoid membrane, chloroplast, plastoglobule, chloroplast envelope;EXPRESSED IN: 23 plant structures;EXPRESSED DURING: 14 growth stages;BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G38100.1);Has 323 Blast hits to 323 proteins in 59 species: Archae - 0;Bacteria - 107;Metazoa - 0;Fungi - 0;Plants - 206;Viruses - 0;Other Eukaryotes - 10 (source: NCBI BLink)."
AT4G29480.1,Mitochondrial ATP synthase subunit G protein
AT3G22210.1,unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: endomembrane system;EXPRESSED IN: 21 plant structures;EXPRESSED DURING: 13 growth stages;Has 26 Blast hits to 26 proteins in 13 species: Archae - 0;Bacteria - 0;Metazoa - 0;Fungi - 0;Plants - 26;Viruses - 0;Other Eukaryotes - 0 (source: NCBI BLink).
AT2G37130.1;AT2G37130.2,Peroxidase superfamily protein
AT4G35220.1,Cyclase family protein
ATCG00280.1,photosystem II reaction center protein C
AT4G34090.1;AT4G34090.3,"unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: chloroplast, chloroplast stroma;EXPRESSED IN: 22 plant structures;EXPRESSED DURING: 13 growth stages;BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G23370.1);Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12;Bacteria - 1396;Metazoa - 17338;Fungi - 3422;Plants - 5037;Viruses - 0;Other Eukaryotes - 2996 (source: NCBI BLink).;unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;EXPRESSED IN: 22 plant structures;EXPRESSED DURING: 13 growth stages;BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G23370.1)."
AT5G19990.1,regulatory particle triple-A ATPase 6A
AT4G32940.1,gamma vacuolar processing enzyme
AT1G31550.1;AT1G31550.2,GDSL-like Lipase/Acylhydrolase superfamily protein
AT4G02405.1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
AT3G17590.1,"transcription regulatory protein SNF5, putative (BSH)"
AT1G08050.1,Zinc finger (C3HC4-type RING finger) family protein
AT3G14120.1;AT3G14120.2;AT3G14120.3,FUNCTIONS IN: molecular_function unknown;INVOLVED IN: transport;LOCATED IN: nuclear pore;EXPRESSED IN: 23 plant structures;EXPRESSED DURING: 13 growth stages;CONTAINS InterPro DOMAIN/s: Nuclear pore protein 84/107 (InterPro:IPR007252);Has 5399 Blast hits to 5001 proteins in 612 species: Archae - 19;Bacteria - 730;Metazoa - 2186;Fungi - 823;Plants - 382;Viruses - 37;Other Eukaryotes - 1222 (source: NCBI BLink).;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: transport;LOCATED IN: nuclear pore;EXPRESSED IN: 23 plant structures;EXPRESSED DURING: 13 growth stages;CONTAINS InterPro DOMAIN/s: Nuclear pore protein 84/107 (InterPro:IPR007252);Has 271 Blast hits to 268 proteins in 107 species: Archae - 0;Bacteria - 0;Metazoa - 138;Fungi - 69;Plants - 52;Viruses - 0;Other Eukaryotes - 12 (source: NCBI BLink).;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: transport;LOCATED IN: nuclear pore;EXPRESSED IN: 22 plant structures;EXPRESSED DURING: 13 growth stages;CONTAINS InterPro DOMAIN/s: Nuclear pore protein 84/107 (InterPro:IPR007252).
AT1G69830.1,alpha-amylase-like 3
AT3G03910.1,glutamate dehydrogenase 3
AT2G30930.1,"unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: chloroplast, plasma membrane, membrane;EXPRESSED IN: 24 plant structures;EXPRESSED DURING: 14 growth stages;BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G06540.1);Has 194 Blast hits to 176 proteins in 78 species: Archae - 0;Bacteria - 101;Metazoa - 15;Fungi - 25;Plants - 12;Viruses - 4;Other Eukaryotes - 37 (source: NCBI BLink)."
AT4G11850.1,phospholipase D gamma 1
AT1G10865.1;AT1G10865.2,"FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: cellular_component unknown;CONTAINS InterPro DOMAIN/s: Cytochrome c oxidase assembly protein PET191, N-terminal (InterPro:IPR018793);Has 241 Blast hits to 241 proteins in 124 species: Archae - 0;Bacteria - 0;Metazoa - 100;Fungi - 94;Plants - 38;Viruses - 0;Other Eukaryotes - 9 (source: NCBI BLink).;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: cellular_component unknown;CONTAINS InterPro DOMAIN/s: Cytochrome c oxidase assembly protein PET191, N-terminal (InterPro:IPR018793);Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12;Bacteria - 1396;Metazoa - 17338;Fungi - 3422;Plants - 5037;Viruses - 0;Other Eukaryotes - 2996 (source: NCBI BLink)."
AT3G11220.1;AT3G11220.2,Paxneb protein-related
AT1G03130.1,photosystem I subunit D-2
AT5G35220.1,Peptidase M50 family protein
AT3G63260.1;AT3G63260.2,Protein kinase superfamily protein
AT2G39260.1,binding;RNA binding
AT4G37830.1,cytochrome c oxidase-related
AT2G15320.1,Leucine-rich repeat (LRR) family protein
AT5G26751.1,shaggy-related kinase 11
AT5G40370.1,Glutaredoxin family protein
AT4G18460.1,D-Tyr-tRNA(Tyr) deacylase family protein
AT3G09540.1,Pectin lyase-like superfamily protein
AT1G63460.1,glutathione peroxidase 8
AT5G44070.1,phytochelatin synthase 1 (PCS1)
AT1G77930.1;AT1G77930.2,Chaperone DnaJ-domain superfamily protein
AT1G72410.1;AT1G72410.2,COP1-interacting protein-related
AT5G17620.1,CONTAINS InterPro DOMAIN/s: Plant nuclear matrix 1 (InterPro:IPR010604);Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12;Bacteria - 1396;Metazoa - 17338;Fungi - 3422;Plants - 5037;Viruses - 0;Other Eukaryotes - 2996 (source: NCBI BLink).
AT5G25010.1,Protein of unknown function (DUF1336)
AT5G49930.1,zinc knuckle (CCHC-type) family protein
AT2G43210.1;AT2G43210.2,Ubiquitin-like superfamily protein
AT3G11510.1,Ribosomal protein S11 family protein
AT1G60430.1;AT1G60430.2,actin-related protein C3
AT3G19340.1,Protein of unknown function (DUF3754)
AT1G09430.1,ATP-citrate lyase A-3
AT1G07240.1,UDP-glucosyl transferase 71C5
AT1G68260.1,Thioesterase superfamily protein
AT5G43750.1,NAD(P)H dehydrogenase 18
AT5G06530.1;AT5G06530.2;AT5G06530.3,ABC-2 type transporter family protein
AT5G47690.1;AT5G47690.2;AT5G47690.3,binding
AT2G21540.1;AT2G21540.2;AT2G21540.3,SEC14-like 3
AT1G28020.1,Tetratricopeptide repeat (TPR)-like superfamily protein
AT3G12915.1,Ribosomal protein S5/Elongation factor G/III/V family protein
AT1G71697.1,choline kinase 1
AT4G30580.1,Phospholipid/glycerol acyltransferase family protein
AT4G33460.1,ABC transporter family protein
AT4G14370.1,Disease resistance protein (TIR-NBS-LRR class) family
AT2G05070.1,photosystem II light harvesting complex gene 2.2
AT1G52980.1,GTP-binding family protein
AT5G67290.1,FAD-dependent oxidoreductase family protein
AT1G76690.1,12-oxophytodienoate reductase 2
AT5G49760.1,Leucine-rich repeat protein kinase family protein
AT2G47130.1,NAD(P)-binding Rossmann-fold superfamily protein
AT1G78830.1,Curculin-like (mannose-binding) lectin family protein
AT1G66880.1,Protein kinase superfamily protein
AT3G52120.1,SWAP (Suppressor-of-White-APricot)/surp domain-containing protein / D111/G-patch domain-containing protein
AT5G40810.1;AT5G40810.2,Cytochrome C1 family
ATCG00570.1,photosystem II reaction center protein F
AT1G56590.1,Clathrin adaptor complexes medium subunit family protein
AT2G46110.1,ketopantoate hydroxymethyltransferase 1
